Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
37801,38.05,0.32,0.215,0.665,0.429,0.656,0.397,0.753,0.471,0.799,0.517,0.751,0.498,0.73,0.499,0.684,0.427,
38101,37.989,0.325,0.222,0.674,0.43,0.675,0.406,0.769,0.482,0.813,0.528,0.787,0.521,0.737,0.505,0.691,0.432,
38401,38.045,0.319,0.217,0.683,0.441,0.684,0.412,0.776,0.484,0.821,0.53,0.793,0.525,0.746,0.509,0.719,0.456,
38701,38.105,0.304,0.2,0.688,0.439,0.69,0.412,0.791,0.494,0.835,0.54,0.807,0.532,0.76,0.513,0.718,0.447,
39001,38.094,0.316,0.205,0.703,0.452,0.706,0.423,0.818,0.516,0.86,0.556,0.809,0.531,0.772,0.52,0.733,0.465,
39301,37.92,0.33,0.228,0.708,0.452,0.715,0.426,0.825,0.517,0.877,0.568,0.838,0.553,0.783,0.527,0.747,0.466,
39601,38.018,0.339,0.235,0.715,0.456,0.733,0.431,0.844,0.529,0.89,0.568,0.855,0.563,0.806,0.543,0.775,0.487,
39901,38.129,0.343,0.227,0.726,0.463,0.742,0.443,0.852,0.531,0.909,0.581,0.868,0.566,0.821,0.548,0.771,0.477,
40201,38.072,0.338,0.235,0.739,0.467,0.75,0.446,0.865,0.535,0.93,0.594,0.885,0.579,0.845,0.567,0.796,0.496,
40501,38.01,0.337,0.233,0.758,0.484,0.778,0.468,0.879,0.546,0.95,0.606,0.89,0.579,0.854,0.572,0.815,0.507,
40801,38.045,0.34,0.231,0.769,0.488,0.778,0.462,0.899,0.551,0.967,0.614,0.918,0.597,0.878,0.589,0.829,0.521,
41101,38.016,0.333,0.224,0.781,0.496,0.798,0.473,0.926,0.575,0.986,0.624,0.934,0.604,0.888,0.592,0.827,0.511,
41401,37.959,0.34,0.227,0.784,0.493,0.796,0.469,0.935,0.575,1.008,0.641,0.953,0.617,0.901,0.601,0.865,0.545,
41701,38.074,0.348,0.234,0.793,0.496,0.816,0.482,0.951,0.585,1.02,0.641,0.968,0.628,0.926,0.617,0.889,0.558,
42001,37.987,0.342,0.233,0.806,0.504,0.829,0.486,0.966,0.594,1.029,0.644,0.991,0.639,0.943,0.623,0.89,0.558,
42301,37.998,0.358,0.237,0.827,0.518,0.85,0.501,0.978,0.599,1.054,0.661,1,0.643,0.956,0.624,0.915,0.57,
42601,37.985,0.358,0.236,0.826,0.518,0.864,0.504,0.995,0.608,1.069,0.667,1.024,0.66,0.979,0.642,0.913,0.564,
42901,38.065,0.356,0.242,0.839,0.521,0.885,0.516,1.011,0.616,1.102,0.691,1.051,0.679,1.004,0.66,0.925,0.568,
43201,37.943,0.347,0.229,0.85,0.526,0.891,0.519,1.024,0.619,1.112,0.689,1.061,0.679,1.021,0.665,0.947,0.591,
43501,37.996,0.364,0.243,0.865,0.539,0.912,0.532,1.045,0.632,1.133,0.704,1.076,0.687,1.038,0.677,0.969,0.598,
43801,38.016,0.374,0.257,0.874,0.538,0.916,0.53,1.073,0.652,1.153,0.713,1.096,0.695,1.051,0.68,0.99,0.608,
44101,37.932,0.37,0.248,0.891,0.549,0.928,0.534,1.069,0.641,1.172,0.724,1.12,0.712,1.062,0.684,1.009,0.623,
44401,38.005,0.375,0.246,0.892,0.546,0.946,0.544,1.097,0.661,1.191,0.731,1.14,0.719,1.093,0.707,1.018,0.624,
44701,37.941,0.375,0.255,0.916,0.56,0.971,0.56,1.129,0.68,1.21,0.742,1.16,0.735,1.104,0.705,1.041,0.638,
45001,38.052,0.385,0.256,0.92,0.564,0.984,0.563,1.139,0.681,1.229,0.75,1.173,0.736,1.131,0.725,1.059,0.651,
45301,37.99,0.382,0.26,0.94,0.573,1,0.573,1.155,0.689,1.254,0.763,1.193,0.745,1.151,0.737,1.066,0.645,
45601,37.972,0.385,0.252,0.947,0.576,1.016,0.582,1.183,0.707,1.264,0.763,1.209,0.752,1.17,0.744,1.091,0.663,
45901,38.009,0.392,0.26,0.968,0.588,1.038,0.595,1.192,0.708,1.292,0.782,1.233,0.77,1.198,0.763,1.109,0.674,
46201,38.07,0.403,0.269,0.972,0.589,1.051,0.598,1.225,0.73,1.309,0.79,1.251,0.78,1.217,0.768,1.122,0.68,
46501,37.938,0.405,0.268,0.991,0.603,1.065,0.603,1.237,0.735,1.333,0.806,1.273,0.79,1.224,0.769,1.15,0.697,
46801,37.943,0.396,0.265,1.006,0.609,1.084,0.613,1.247,0.733,1.346,0.806,1.273,0.783,1.252,0.788,1.178,0.713,
47101,38.054,0.405,0.273,1.019,0.617,1.102,0.623,1.263,0.743,1.368,0.819,1.301,0.798,1.27,0.796,1.187,0.714,
47401,37.932,0.411,0.267,1.033,0.624,1.111,0.623,1.287,0.757,1.393,0.833,1.325,0.813,1.287,0.801,1.198,0.717,
47701,38.081,0.416,0.277,1.049,0.636,1.142,0.644,1.313,0.772,1.411,0.841,1.344,0.823,1.313,0.822,1.219,0.733,
48001,38.023,0.414,0.275,1.053,0.631,1.152,0.646,1.325,0.774,1.426,0.849,1.36,0.831,1.334,0.828,1.224,0.731,
48301,38.016,0.424,0.28,1.073,0.643,1.173,0.654,1.351,0.79,1.442,0.856,1.377,0.838,1.334,0.821,1.249,0.744,
48601,38.021,0.423,0.286,1.083,0.647,1.2,0.672,1.357,0.792,1.458,0.863,1.395,0.846,1.367,0.844,1.265,0.749,
48901,37.93,0.427,0.283,1.092,0.65,1.211,0.677,1.377,0.8,1.479,0.87,1.406,0.848,1.384,0.853,1.287,0.766,
49201,38.005,0.435,0.29,1.109,0.657,1.233,0.685,1.398,0.811,1.501,0.886,1.425,0.86,1.417,0.872,1.293,0.763,
49501,37.927,0.439,0.294,1.124,0.669,1.248,0.696,1.413,0.817,1.511,0.89,1.449,0.876,1.424,0.872,1.31,0.772,
49801,38.081,0.441,0.296,1.142,0.678,1.261,0.697,1.432,0.828,1.53,0.902,1.465,0.887,1.448,0.886,1.338,0.796,
50101,37.938,0.445,0.299,1.15,0.682,1.288,0.716,1.452,0.84,1.545,0.909,1.478,0.892,1.46,0.888,1.344,0.801,
50401,37.961,0.452,0.302,1.165,0.691,1.294,0.712,1.469,0.849,1.571,0.921,1.506,0.908,1.486,0.907,1.351,0.798,
50701,38.019,0.458,0.304,1.173,0.69,1.308,0.719,1.491,0.86,1.576,0.925,1.51,0.908,1.499,0.914,1.378,0.818,
51001,38.007,0.461,0.308,1.191,0.699,1.333,0.732,1.505,0.868,1.593,0.932,1.515,0.914,1.518,0.922,1.399,0.832,
51301,37.994,0.465,0.306,1.2,0.706,1.342,0.735,1.514,0.877,1.616,0.944,1.545,0.929,1.528,0.926,1.403,0.831,
51601,37.994,0.475,0.318,1.224,0.718,1.368,0.749,1.528,0.874,1.622,0.947,1.55,0.93,1.558,0.949,1.406,0.833,
51901,38.003,0.468,0.314,1.236,0.722,1.392,0.759,1.553,0.892,1.647,0.963,1.571,0.945,1.569,0.951,1.421,0.838,
52201,37.961,0.482,0.324,1.249,0.728,1.403,0.762,1.564,0.9,1.647,0.96,1.582,0.955,1.58,0.958,1.421,0.842,
52502,38.063,0.482,0.324,1.262,0.736,1.429,0.776,1.575,0.9,1.673,0.973,1.593,0.958,1.591,0.96,1.441,0.856,
52802,37.943,0.485,0.321,1.276,0.742,1.441,0.778,1.586,0.906,1.673,0.976,1.605,0.964,1.608,0.972,1.445,0.853,
53102,38.129,0.493,0.326,1.29,0.75,1.466,0.794,1.597,0.913,1.694,0.992,1.617,0.972,1.62,0.975,1.453,0.858,
53402,37.963,0.496,0.33,1.307,0.758,1.47,0.793,1.62,0.932,1.708,0.996,1.635,0.986,1.626,0.978,1.479,0.872,
53702,37.989,0.506,0.334,1.322,0.768,1.496,0.806,1.633,0.932,1.723,0.999,1.654,0.996,1.645,0.995,1.483,0.872,
54003,38.003,0.51,0.341,1.338,0.773,1.506,0.813,1.645,0.94,1.731,1.006,1.654,0.992,1.658,1,1.488,0.875,
54303,38.038,0.51,0.338,1.35,0.78,1.529,0.819,1.652,0.945,1.747,1.015,1.668,0.998,1.664,1.002,1.506,0.887,
54603,38.014,0.507,0.338,1.354,0.776,1.544,0.827,1.671,0.956,1.755,1.02,1.682,1.008,1.678,1.009,1.497,0.876,
54903,38.045,0.524,0.352,1.381,0.793,1.56,0.834,1.678,0.959,1.772,1.027,1.689,1.008,1.692,1.02,1.52,0.901,
55203,37.987,0.529,0.353,1.384,0.792,1.576,0.843,1.692,0.971,1.789,1.027,1.696,1.014,1.699,1.021,1.525,0.898,
